"Plot Title: Rainfall  Millimeters"
"#","Date Time, GMT-06:00","Rainfall  mm, mm (LGR S/N: 21098380, SEN S/N: 21098380, LBL: Rain mm)","Host Connected (LGR S/N: 21098380)","Stopped (LGR S/N: 21098380)","End Of File (LGR S/N: 21098380)"
83,02/09/23 10:07:09 AM,20.50,,,
84,02/09/23 10:10:36 AM,20.75,,,
85,02/09/23 10:13:19 AM,21.00,,,
86,02/09/23 10:20:11 AM,21.25,,,
87,02/09/23 10:25:02 AM,21.50,,,
88,02/09/23 10:54:47 AM,21.75,,,
89,02/09/23 11:17:21 AM,22.00,,,
90,02/09/23 11:20:19 AM,22.25,,,
91,02/09/23 11:24:26 AM,22.50,,,
92,02/09/23 11:32:05 AM,22.75,,,
93,02/09/23 11:38:50 AM,23.00,,,
94,02/09/23 11:43:49 AM,23.25,,,
95,02/09/23 11:47:17 AM,23.50,,,
96,02/09/23 11:51:48 AM,23.75,,,
97,02/09/23 11:55:30 AM,24.00,,,
98,02/09/23 12:00:22 PM,24.25,,,
99,02/09/23 12:05:41 PM,24.50,,,
100,02/09/23 12:12:38 PM,24.75,,,
101,02/09/23 12:16:24 PM,25.00,,,
102,02/09/23 12:20:41 PM,25.25,,,
103,02/09/23 12:23:13 PM,25.50,,,
104,02/09/23 12:26:14 PM,25.75,,,
105,02/09/23 12:28:43 PM,26.00,,,
106,02/09/23 12:34:06 PM,26.25,,,
107,02/09/23 12:37:40 PM,26.50,,,
108,02/09/23 12:43:32 PM,26.75,,,
109,02/09/23 12:49:01 PM,27.00,,,
110,02/09/23 12:54:40 PM,27.25,,,
111,02/09/23 12:59:09 PM,27.50,,,
112,02/09/23 01:04:12 PM,27.75,,,
113,02/09/23 01:11:08 PM,28.00,,,
114,02/09/23 06:41:51 PM,28.25,,,
115,02/09/23 07:14:47 PM,28.50,,,
116,02/09/23 07:37:09 PM,28.75,,,
117,02/14/23 05:51:50 PM,29.00,,,
118,02/14/23 06:12:27 PM,29.25,,,
119,02/14/23 06:29:51 PM,29.50,,,
120,02/14/23 06:43:24 PM,29.75,,,
121,02/14/23 06:52:33 PM,30.00,,,
122,02/14/23 11:11:39 PM,30.25,,,
123,02/14/23 11:27:48 PM,30.50,,,
124,02/14/23 11:30:17 PM,30.75,,,
125,02/15/23 12:02:33 AM,31.00,,,
126,02/15/23 12:38:00 AM,31.25,,,
127,02/15/23 12:41:56 AM,31.50,,,
128,02/15/23 12:44:04 AM,31.75,,,
129,02/15/23 12:45:24 AM,32.00,,,
130,02/15/23 12:48:10 AM,32.25,,,
131,02/15/23 12:49:18 AM,32.50,,,
132,02/15/23 12:56:00 AM,32.75,,,
133,02/15/23 01:09:44 AM,33.00,,,
134,02/15/23 01:41:32 AM,33.25,,,
135,02/15/23 02:00:08 AM,33.50,,,
136,02/15/23 02:04:55 AM,33.75,,,
137,02/15/23 02:05:02 AM,34.00,,,
138,02/15/23 02:05:11 AM,34.25,,,
139,02/15/23 02:05:29 AM,34.50,,,
140,02/15/23 02:07:11 AM,34.75,,,
141,02/15/23 02:13:20 AM,35.00,,,
142,02/16/23 07:51:19 AM,35.25,,,
143,02/16/23 09:06:48 AM,35.50,,,
144,02/16/23 09:33:52 AM,35.75,,,
145,02/16/23 09:41:18 AM,36.00,,,
146,02/16/23 09:50:17 AM,36.25,,,
147,02/16/23 09:58:19 AM,36.50,,,
148,02/16/23 10:08:30 AM,36.75,,,
149,02/16/23 10:19:53 AM,37.00,,,
150,02/16/23 11:09:38 AM,37.25,,,
151,02/16/23 11:15:01 AM,37.50,,,
152,02/16/23 11:21:48 AM,37.75,,,
153,02/16/23 11:24:53 AM,38.00,,,
154,02/16/23 11:29:58 AM,38.25,,,
155,02/16/23 11:41:58 AM,38.50,,,
156,02/16/23 11:59:17 AM,38.75,,,
157,02/16/23 12:07:21 PM,39.00,,,
158,02/16/23 12:10:35 PM,39.25,,,
159,02/16/23 12:12:55 PM,39.50,,,
160,02/16/23 12:16:19 PM,39.75,,,
161,02/16/23 12:25:37 PM,40.00,,,
162,02/16/23 12:42:57 PM,40.25,,,
163,02/16/23 12:48:45 PM,40.50,,,
164,02/16/23 12:53:17 PM,40.75,,,
165,02/16/23 12:56:42 PM,41.00,,,
166,02/16/23 01:00:42 PM,41.25,,,
167,02/16/23 01:04:20 PM,41.50,,,
168,02/16/23 01:15:52 PM,41.75,,,
169,02/16/23 01:20:40 PM,42.00,,,
170,02/16/23 01:24:38 PM,42.25,,,
171,02/16/23 01:52:02 PM,42.50,,,
172,02/16/23 02:01:02 PM,42.75,,,
173,02/16/23 02:02:53 PM,43.00,,,
174,02/16/23 02:05:46 PM,43.25,,,
175,02/16/23 02:09:24 PM,43.50,,,
176,02/16/23 02:31:28 PM,43.75,,,
177,02/16/23 03:18:18 PM,44.00,,,
178,02/16/23 03:35:19 PM,44.25,,,
179,02/16/23 03:50:49 PM,44.50,,,
180,02/16/23 04:09:11 PM,44.75,,,
181,02/16/23 04:30:32 PM,45.00,,,
182,02/16/23 06:18:34 PM,45.25,,,
183,02/16/23 06:34:07 PM,45.50,,,
184,02/16/23 06:44:51 PM,45.75,,,
185,02/16/23 06:52:46 PM,46.00,,,
186,02/16/23 07:17:24 PM,46.25,,,
187,02/16/23 08:12:18 PM,46.50,,,
188,02/16/23 08:32:55 PM,46.75,,,
189,02/16/23 09:26:34 PM,47.00,,,
190,02/22/23 04:34:32 AM,47.25,,,
191,02/22/23 09:27:54 AM,47.50,,,
192,02/22/23 09:35:16 AM,47.75,,,
193,02/22/23 09:44:35 AM,48.00,,,
194,02/22/23 09:59:51 AM,48.25,,,
195,02/22/23 10:14:37 AM,48.50,,,
196,02/22/23 10:24:34 AM,48.75,,,
197,02/22/23 10:29:35 AM,49.00,,,
198,02/22/23 10:53:35 AM,49.25,,,
199,02/22/23 11:03:34 AM,49.50,,,
200,02/22/23 11:08:26 AM,49.75,,,
201,02/22/23 11:11:14 AM,50.00,,,
202,02/22/23 11:14:39 AM,50.25,,,
203,02/22/23 11:27:45 AM,50.50,,,
204,02/22/23 12:03:06 PM,50.75,,,
205,02/22/23 12:06:48 PM,51.00,,,
206,02/22/23 12:21:47 PM,51.25,,,
207,02/22/23 12:26:56 PM,51.50,,,
208,02/22/23 12:32:52 PM,51.75,,,
209,02/22/23 12:48:28 PM,52.00,,,
210,02/22/23 12:59:35 PM,52.25,,,
211,02/22/23 01:04:13 PM,52.50,,,
212,02/22/23 01:10:46 PM,52.75,,,
213,02/22/23 01:12:55 PM,53.00,,,
214,02/22/23 01:15:01 PM,53.25,,,
215,02/22/23 01:16:36 PM,53.50,,,
216,02/22/23 01:18:18 PM,53.75,,,
217,02/22/23 01:19:52 PM,54.00,,,
218,02/22/23 01:21:42 PM,54.25,,,
219,02/22/23 01:22:54 PM,54.50,,,
220,02/22/23 01:23:54 PM,54.75,,,
221,02/22/23 01:24:53 PM,55.00,,,
222,02/22/23 01:26:21 PM,55.25,,,
223,02/22/23 01:27:51 PM,55.50,,,
224,02/22/23 01:29:36 PM,55.75,,,
225,02/22/23 01:30:36 PM,56.00,,,
226,02/22/23 01:31:54 PM,56.25,,,
227,02/22/23 01:32:56 PM,56.50,,,
228,02/22/23 01:34:06 PM,56.75,,,
229,02/22/23 01:35:18 PM,57.00,,,
230,02/22/23 01:36:55 PM,57.25,,,
231,02/22/23 01:39:11 PM,57.50,,,
232,02/22/23 01:41:33 PM,57.75,,,
233,02/22/23 01:43:52 PM,58.00,,,
234,02/22/23 01:47:45 PM,58.25,,,
235,02/22/23 01:51:13 PM,58.50,,,
236,02/22/23 01:55:32 PM,58.75,,,
237,02/22/23 01:58:18 PM,59.00,,,
238,02/22/23 02:01:19 PM,59.25,,,
239,02/22/23 02:06:24 PM,59.50,,,
240,02/22/23 02:14:32 PM,59.75,,,
241,02/22/23 02:21:12 PM,60.00,,,
242,02/22/23 02:25:59 PM,60.25,,,
243,02/22/23 02:28:08 PM,60.50,,,
244,02/22/23 02:30:06 PM,60.75,,,
245,02/22/23 02:31:54 PM,61.00,,,
246,02/22/23 02:34:45 PM,61.25,,,
247,02/22/23 02:36:52 PM,61.50,,,
248,02/22/23 02:40:25 PM,61.75,,,
249,02/22/23 02:44:47 PM,62.00,,,
250,02/22/23 02:51:36 PM,62.25,,,
251,02/22/23 02:56:38 PM,62.50,,,
252,02/22/23 03:05:00 PM,62.75,,,
253,02/22/23 03:08:59 PM,63.00,,,
254,02/22/23 03:11:37 PM,63.25,,,
255,02/22/23 03:13:34 PM,63.50,,,
256,02/22/23 03:17:02 PM,63.75,,,
257,02/22/23 03:22:00 PM,64.00,,,
258,02/22/23 03:26:24 PM,64.25,,,
259,02/22/23 03:30:09 PM,64.50,,,
260,02/22/23 03:33:54 PM,64.75,,,
261,02/22/23 03:36:26 PM,65.00,,,
262,02/22/23 03:39:15 PM,65.25,,,
263,02/22/23 03:41:05 PM,65.50,,,
264,02/22/23 03:44:11 PM,65.75,,,
265,02/22/23 03:46:27 PM,66.00,,,
266,02/22/23 03:49:21 PM,66.25,,,
267,02/22/23 03:51:32 PM,66.50,,,
268,02/22/23 03:55:15 PM,66.75,,,
269,02/22/23 04:00:02 PM,67.00,,,
270,02/22/23 04:04:25 PM,67.25,,,
271,02/22/23 04:07:17 PM,67.50,,,
272,02/22/23 04:10:46 PM,67.75,,,
273,02/22/23 04:13:23 PM,68.00,,,
274,02/22/23 04:16:44 PM,68.25,,,
275,02/22/23 04:19:40 PM,68.50,,,
276,02/22/23 04:22:29 PM,68.75,,,
277,02/22/23 04:24:27 PM,69.00,,,
278,02/22/23 04:27:04 PM,69.25,,,
279,02/22/23 04:31:16 PM,69.50,,,
280,02/22/23 04:35:07 PM,69.75,,,
281,02/22/23 04:38:26 PM,70.00,,,
282,02/22/23 04:42:23 PM,70.25,,,
283,02/22/23 04:45:33 PM,70.50,,,
284,02/22/23 04:49:42 PM,70.75,,,
285,02/22/23 04:53:19 PM,71.00,,,
286,02/22/23 04:57:40 PM,71.25,,,
287,02/22/23 05:00:59 PM,71.50,,,
288,02/22/23 05:07:59 PM,71.75,,,
289,02/22/23 05:13:20 PM,72.00,,,
290,02/22/23 05:16:06 PM,72.25,,,
291,02/22/23 05:19:09 PM,72.50,,,
292,02/22/23 05:40:57 PM,72.75,,,
293,02/22/23 06:52:47 PM,73.00,,,
294,02/22/23 07:29:18 PM,73.25,,,
295,02/22/23 07:35:55 PM,73.50,,,
296,02/22/23 08:02:48 PM,73.75,,,
297,02/22/23 08:08:37 PM,74.00,,,
298,02/22/23 08:12:22 PM,74.25,,,
299,02/22/23 08:15:53 PM,74.50,,,
300,02/22/23 08:32:56 PM,74.75,,,
301,02/22/23 10:16:42 PM,75.00,,,
302,02/22/23 10:55:08 PM,75.25,,,
303,02/22/23 10:59:43 PM,75.50,,,
304,02/22/23 11:14:40 PM,75.75,,,
305,02/22/23 11:17:00 PM,76.00,,,
306,02/24/23 08:54:04 PM,76.25,,,
307,02/24/23 09:58:54 PM,76.50,,,
308,02/27/23 03:12:28 AM,76.75,,,
309,02/27/23 03:12:49 AM,77.00,,,
310,02/27/23 03:13:49 AM,77.25,,,
311,02/27/23 03:17:19 AM,77.50,,,
312,02/27/23 03:34:00 AM,77.75,,,
313,02/27/23 03:39:46 AM,78.00,,,
314,02/27/23 03:44:32 AM,78.25,,,
315,02/27/23 03:47:49 AM,78.50,,,
316,02/27/23 03:49:41 AM,78.75,,,
317,02/27/23 03:51:56 AM,79.00,,,
318,02/27/23 03:53:04 AM,79.25,,,
319,02/27/23 03:54:29 AM,79.50,,,
320,02/27/23 03:56:35 AM,79.75,,,
321,02/27/23 03:58:08 AM,80.00,,,
322,02/27/23 03:59:24 AM,80.25,,,
323,02/27/23 04:00:34 AM,80.50,,,
324,02/27/23 04:02:27 AM,80.75,,,
325,02/27/23 04:05:11 AM,81.00,,,
326,02/27/23 04:07:36 AM,81.25,,,
327,02/27/23 04:09:40 AM,81.50,,,
328,02/27/23 04:11:36 AM,81.75,,,
329,02/27/23 04:12:56 AM,82.00,,,
330,02/27/23 04:14:15 AM,82.25,,,
331,02/27/23 04:15:40 AM,82.50,,,
332,02/27/23 04:16:31 AM,82.75,,,
333,02/27/23 04:17:03 AM,83.00,,,
334,02/27/23 04:17:39 AM,83.25,,,
335,02/27/23 04:18:01 AM,83.50,,,
336,02/27/23 04:18:33 AM,83.75,,,
337,02/27/23 04:19:01 AM,84.00,,,
338,02/27/23 04:19:35 AM,84.25,,,
339,02/27/23 04:20:00 AM,84.50,,,
340,02/27/23 04:20:30 AM,84.75,,,
341,02/27/23 04:21:00 AM,85.00,,,
342,02/27/23 04:21:35 AM,85.25,,,
343,02/27/23 04:22:03 AM,85.50,,,
344,02/27/23 04:22:30 AM,85.75,,,
345,02/27/23 04:22:57 AM,86.00,,,
346,02/27/23 04:23:43 AM,86.25,,,
347,02/27/23 04:24:18 AM,86.50,,,
348,02/27/23 04:24:31 AM,86.75,,,
349,02/27/23 04:24:41 AM,87.00,,,
350,02/27/23 04:24:55 AM,87.25,,,
351,02/27/23 04:25:13 AM,87.50,,,
352,02/27/23 04:25:42 AM,87.75,,,
353,02/27/23 04:26:04 AM,88.00,,,
354,02/27/23 04:26:26 AM,88.25,,,
355,02/27/23 04:26:45 AM,88.50,,,
356,02/27/23 04:27:19 AM,88.75,,,
357,02/27/23 04:28:17 AM,89.00,,,
358,02/27/23 06:19:29 AM,89.25,,,
359,02/27/23 06:21:25 AM,89.50,,,
360,02/27/23 06:21:57 AM,89.75,,,
361,02/27/23 06:22:21 AM,90.00,,,
362,02/27/23 06:22:46 AM,90.25,,,
363,02/27/23 06:23:02 AM,90.50,,,
364,02/27/23 06:23:27 AM,90.75,,,
365,02/27/23 06:23:56 AM,91.00,,,
366,02/27/23 06:24:35 AM,91.25,,,
367,02/27/23 06:25:03 AM,91.50,,,
368,02/27/23 06:25:30 AM,91.75,,,
369,02/27/23 06:25:49 AM,92.00,,,
370,02/27/23 06:26:03 AM,92.25,,,
371,02/27/23 06:26:18 AM,92.50,,,
372,02/27/23 06:26:38 AM,92.75,,,
373,02/27/23 06:26:49 AM,93.00,,,
374,02/27/23 06:27:02 AM,93.25,,,
375,02/27/23 06:27:14 AM,93.50,,,
376,02/27/23 06:27:39 AM,93.75,,,
377,02/27/23 06:28:29 AM,94.00,,,
378,02/27/23 06:31:49 AM,94.25,,,
379,02/27/23 06:32:23 AM,94.50,,,
380,02/27/23 06:33:06 AM,94.75,,,
381,02/27/23 06:34:14 AM,95.00,,,
382,02/27/23 07:30:25 AM,95.25,,,
383,02/27/23 07:36:29 AM,95.50,,,
384,02/27/23 07:40:38 AM,95.75,,,
385,02/27/23 07:46:54 AM,96.00,,,
386,02/27/23 07:50:31 AM,96.25,,,
387,02/27/23 07:54:39 AM,96.50,,,
388,02/27/23 08:03:58 AM,96.75,,,
389,02/27/23 08:07:45 AM,97.00,,,
390,02/27/23 08:10:15 AM,97.25,,,
391,02/27/23 08:11:41 AM,97.50,,,
392,02/27/23 08:13:20 AM,97.75,,,
393,02/27/23 08:15:03 AM,98.00,,,
394,02/27/23 08:17:21 AM,98.25,,,
395,02/27/23 08:19:35 AM,98.50,,,
396,02/27/23 08:22:15 AM,98.75,,,
397,02/27/23 08:24:40 AM,99.00,,,
398,02/27/23 08:30:47 AM,99.25,,,
399,02/27/23 08:38:48 AM,99.50,,,
400,02/27/23 08:44:48 AM,99.75,,,
401,02/27/23 08:48:05 AM,100.00,,,
402,02/27/23 08:52:04 AM,100.25,,,
403,02/27/23 08:55:05 AM,100.50,,,
404,02/27/23 09:02:39 AM,100.75,,,
405,02/27/23 09:05:42 AM,101.00,,,
406,02/27/23 09:09:27 AM,101.25,,,
407,02/27/23 09:10:20 AM,101.50,,,
408,02/27/23 09:14:26 AM,101.75,,,
409,02/27/23 09:27:35 AM,102.00,,,
410,02/27/23 09:35:46 AM,102.25,,,
411,02/27/23 09:46:22 AM,102.50,,,
412,02/27/23 09:58:36 AM,102.75,,,
413,02/27/23 09:59:11 AM,103.00,,,
414,02/27/23 09:59:49 AM,103.25,,,
415,02/27/23 10:00:26 AM,103.50,,,
416,02/27/23 10:01:22 AM,103.75,,,
417,02/27/23 10:01:50 AM,104.00,,,
418,02/27/23 10:02:26 AM,104.25,,,
419,02/27/23 10:03:05 AM,104.50,,,
420,02/27/23 10:03:32 AM,104.75,,,
421,02/27/23 10:03:53 AM,105.00,,,
422,02/27/23 10:04:18 AM,105.25,,,
423,02/27/23 10:04:34 AM,105.50,,,
424,02/27/23 10:04:44 AM,105.75,,,
425,02/27/23 10:04:53 AM,106.00,,,
426,02/27/23 10:05:14 AM,106.25,,,
427,02/27/23 10:05:33 AM,106.50,,,
428,02/27/23 10:06:14 AM,106.75,,,
429,02/27/23 10:06:40 AM,107.00,,,
430,02/27/23 10:06:59 AM,107.25,,,
431,02/27/23 10:07:12 AM,107.50,,,
432,02/27/23 10:07:55 AM,107.75,,,
433,02/27/23 10:08:19 AM,108.00,,,
434,02/27/23 10:08:48 AM,108.25,,,
435,02/27/23 10:14:39 AM,108.50,,,
436,02/28/23 11:16:05 PM,108.75,,,
437,02/28/23 11:18:33 PM,109.00,,,
438,02/28/23 11:27:02 PM,109.25,,,
439,03/01/23 12:12:38 AM,109.50,,,
440,03/04/23 05:12:19 PM,109.75,,,
441,03/04/23 05:37:29 PM,110.00,,,
442,03/05/23 10:04:33 PM,110.25,,,
443,03/05/23 11:06:53 PM,110.50,,,
444,03/06/23 12:26:20 AM,110.75,,,
445,03/06/23 12:40:12 AM,111.00,,,
446,03/06/23 12:45:29 AM,111.25,,,
447,03/06/23 12:47:42 AM,111.50,,,
448,03/06/23 12:55:24 AM,111.75,,,
449,03/06/23 01:34:50 AM,112.00,,,
450,03/06/23 01:36:48 AM,112.25,,,
451,03/06/23 01:37:38 AM,112.50,,,
452,03/06/23 09:03:34 AM,112.75,,,
453,03/06/23 09:08:14 AM,113.00,,,
454,03/06/23 09:28:13 AM,113.25,,,
455,03/06/23 09:29:13 AM,113.50,,,
456,03/06/23 09:30:25 AM,113.75,,,
457,03/06/23 09:34:33 AM,114.00,,,
458,03/06/23 09:41:17 AM,114.25,,,
459,03/06/23 10:03:07 AM,114.50,,,
460,03/06/23 10:11:16 AM,114.75,,,
461,03/06/23 01:18:44 PM,115.00,,,
462,03/07/23 04:07:28 PM,115.25,,,
463,03/07/23 04:07:29 PM,,Logged,,
464,03/07/23 04:08:41 PM,115.25,,Logged,Logged
